  4   90100  1AC    24       SSMANIFO                                                  -94.76940277  26.95505833
  1    1331  1CA    30              1  4228S  5744E       2821380.15           385558  -88.74597369   29.7014252
  1    1519  1CA    30              2  3856S  4646W        2817012.1           385186  -88.75975478  29.70067294
  1    1311  1CA    30              3  4189S  6385W        2818751.1           385519   -88.7542552  29.70148095
  1   23410  1CA    30              A   657S  3540W          2815906           381987    -88.763464    29.691946
  1   23411  1CA    31              1  2350S   900E       2840982.05           383680    -88.684386     29.69503
  1    1973  1CA    31              A  2387S  7779W       2834903.15           383717  -88.70352394  29.69551725
  1    1972  1CA    32              A  5703N  5667W        2847549.2        390385.05  -88.66321592  29.71304531
  1   23455  1CA    34              A   384N   614E       2885647.67      395704.0625    -88.542829    29.725172
  1   23464  1CA    34              B  5088N  3695E       2882566.67      391000.0625    -88.552892    29.712446
  1   24175  1CA    37              A  4955S  5820W       2921492.45        401043.05     -88.42951  29.73740078
  1   24172  1CA    37              B  6914S   544W       2916216.45        403002.05  -88.44597325  29.74315289
  1   23437  1CA    38              A  3400S   420W        2901334.4        399488.05    -88.493128    29.734515
  1   23420  1CA    40              A  3908S  7023W       2893179.35           385238    -88.519917    29.695893
  1   23805  1CA    41              1  5949N  6975W        2907889.4        390139.05    -88.473216    29.708365
  1   23805  2CA    41              2  5839N  6957W        2907871.4        390249.05  -88.47326396  29.70866888
  1    2343  1CA    43              A  1089N  5877W        2936307.5        394999.05  -88.38333547  29.71974488
      90287  1DC     4           PLET                                                  -87.78041801  29.22860191
      90284  1DC    47    Gas PLET #3                                                  -87.77763948  28.89421518
      90209  1DC   621    SS Manifold                                                  -87.71485289  28.34561447
      90272  1DC   621        SS PLET                                                  -87.82086664  28.35375351
  4   10242  1EB   110    A (Tequila)  8337S  2300W          1031900         10114257    -94.883731     27.85895
  4   10212  1EB   159              A  4325N  6211W          1115011         10101595    -94.626023    27.827395
  4   10178  1EB   160    A (Cerveza)  2700N  1300E          1139180         10103220    -94.551311    27.832726
  4   10297  1EB   165              A  8650N  6725E          1212955         10097270    -94.322836    27.818735
      90242  1EB   579       SSMANIFO                                                  -95.57315047   27.3466694
      90316  1EB   598        PLEM B2                                                  -94.64003941  27.39148381
      90296  1EB   598         PLET C                                                  -94.64007555  27.39150713
      90282  1EB   599DRYSDALE PLET H                                                  -94.63328978  27.40051318
      90233  1EB   599    MANIFOLD H3                                                    -94.628778  27.37267618
      90253  1EB   599   PIGGING PLET                                                  -94.62756433  27.38608561
  4     821  1EB   602     A (Nansen)  1981S  7885W          1164205          9933661  -94.46765355   27.3671371
  4     822  1EB   643   A (Boomvang)  2317N  4177W          1112977          9929363  -94.62531327  27.35356527
      90311  1EB   646      PLEM DP-1                                                  -94.47291657  27.35429207
      90304  1EB   646  PLET W Navajo                                                  -94.48850575  27.32189164
      90224  1EB   945Subsea Manifold                                                  -94.90837759   27.0175889
  4   90102  1EB   946     SSMANIFOLD                                                  -94.87552083  27.03458528
  4   90103  1EB   949        PLEM #1                                                  -94.76980555  26.95523222
  4   90104  1EB   949       SSMANIFO                                                  -94.72472653  27.02907335
      90214  1EB   949       SSMANIFO                                                  -94.72485173  27.02913066
      90308  1EB   949     SSWPLEM #1                                                  -94.76835108  26.95555054
  5   22873  1EC     2              1  7254S   999W       1466240.95           367254    -93.014002    29.665827
  5   23374  1EC     2              1  3162S  4112E          1475888           363162    -92.983444    29.654961
  5   24092  1EC     2              3  4311S   992W       1466233.95           364311  -93.01388793  29.65773416
  5   24082  1EC     2              A  4889S  4230W       1469471.95           364889   -93.0037211  29.65945369
  5    1955  1EC     2              C 12920S   679W      1465920.952           372920  -93.01527095  29.68139393
