Name,Latitude,Longitude,Latitude_DMS,Longitude_DMS,Type
Chimon Rock,41.06714 N,73.38158 W,"41° 4' 1.7"" N","73° 22' 53.69"" W",Rock
China Junk Wreck,39.1205 N,74.68683 W,"39° 7' 13.8"" N","74° 41' 12.59"" W",Wreck
China Wreck,38.82138 N,74.916 W,"38° 49' 16.97"" N","74° 54' 57.6"" W",Wreck
China Wreck,39.11678 N,74.68016 W,"39° 7' 0.41"" N","74° 40' 48.58"" W",Wreck
China Wreck,39.11673 N,74.67477 W,"39° 7' 0.23"" N","74° 40' 29.17"" W",Wreck
China Wreck,38.81967 N,74.90917 W,"38° 49' 10.81"" N","74° 54' 33.01"" W",Wreck
China Wreck,38.80472 N,74.91605 W,"38° 48' 16.99"" N","74° 54' 57.78"" W",Wreck
Chipola College Reef,29.8256 N,85.98827 W,"29° 49' 32.16"" N","85° 59' 17.77"" W",Reef
Chippewa,29.96126 N,85.80773 W,"29° 57' 40.54"" N","85° 48' 27.83"" W",Structure
Chkn Rock,34.6158 N,76.16952 W,"34° 36' 56.88"" N","76° 10' 10.27"" W",Rock
Choapa Shipwreck,40.27975 N,73.78998 W,"40° 16' 47.1"" N","73° 47' 23.93"" W",Wreck
Choapa Wreck,40.21383 N,73.73667 W,"40° 12' 49.79"" N","73° 44' 12.01"" W",Wreck
Choapa Wreck,40.21673 N,73.73842 W,"40° 13' 0.23"" N","73° 44' 18.31"" W",Wreck
Choctaw LBI Scuba Reef,39.63156 N,74.02139 W,"39° 37' 53.62"" N","74° 1' 17.0"" W",Reef
Cholera Bank,40.44407 N,73.5447 W,"40° 26' 38.65"" N","73° 32' 40.92"" W",Hole
Cholera Bank E L,40.4635 N,73.46317 W,"40° 27' 48.6"" N","73° 27' 47.41"" W",Hole
Cholera Bank L,40.44117 N,73.53917 W,"40° 26' 28.21"" N","73° 32' 21.01"" W",Hole
Cholera Wreck 1 W,40.4405 N,73.54 W,"40° 26' 25.8"" N","73° 32' 24.0"" W",Wreck
Cholerabks,40.43486 N,73.5345 W,"40° 26' 5.5"" N","73° 32' 4.2"" W",Hole
Chris Benson Reef,28.68967 N,80.42717 W,"28° 41' 22.81"" N","80° 25' 37.81"" W",Reef
Chris Benson Reef,28.7 N,80.44167 W,"28° 42' 0.0"" N","80° 26' 30.01"" W",Reef
Chris Benson Reef,28.75833 N,80.45417 W,"28° 45' 29.99"" N","80° 27' 15.01"" W",Reef
Chris Benson Reef,28.773 N,80.44417 W,"28° 46' 22.8"" N","80° 26' 39.01"" W",Reef
Chris Benson Reef,27.1739 N,79.85223 W,"27° 10' 26.04"" N","79° 51' 8.03"" W",Reef
Chris Craft Molds,26.08083 N,80.05395 W,"26° 4' 50.99"" N","80° 3' 14.22"" W",Structure
Chris Koepfer ARC Reef Balls,26.41128 N,82.41212 W,"26° 24' 40.61"" N","82° 24' 43.63"" W",Reef
Christmas Rock,34.38033 N,77.153 W,"34° 22' 49.19"" N","77° 9' 10.8"" W",Rock
Christmas Rock,34.40168 N,77.16337 W,"34° 24' 6.05"" N","77° 9' 48.13"" W",Rock
Christmas Tree Reef,30.36512 N,86.41632 W,"30° 21' 54.43"" N","86° 24' 58.75"" W",Reef
Chuck Guilford Reef,29.92396 N,85.54236 W,"29° 55' 26.26"" N","85° 32' 32.5"" W",Reef
Chuck Mckibbonville Reef,29.91345 N,85.55178 W,"29° 54' 48.42"" N","85° 33' 6.41"" W",Reef
Chucki Hole,30.07667 N,87.25167 W,"30° 4' 36.01"" N","87° 15' 6.01"" W",Hole
Chucks Hump,26.51368 N,97.11904 W,"26° 30' 49.25"" N","97° 7' 8.54"" W",Hump
