id,name,lat,lng,type
6823,Taylors Island Reef,38.46833,-76.36167,Reef
6824,Taylors Island Reef South,38.45916,-76.35547,Reef
6825,Taylors Ledge,38.48164,-76.36748,Ledge
6826,TD Ledge,33.70946,-76.79845,Ledge
6827,TDC Reef,30.05708,-87.19388,Reef
6828,TDC Reef,30.06358,-87.18142,Reef
6829,TEA CUP Ledges,26.13133,-82.0335,Ledge
6830,Ten Fathom Wreck,27.6494,-83.0524,Wreck
6831,Ten Foot Hole,29.7237,-84.9812,Hole
6832,Ten Reef E Live Bott,34.382,-76.55883,Reef
6833,Ten Reef E Live Bott,34.39333,-76.5785,Reef
6834,Ten Thousand Ledge,25.8516,-81.95781,Ledge
6835,Ten Fathom Ledge,24.43283,-81.95033,Ledge
6836,Tenneco Platform,29.99522,-87.0853,Platform
6837,Tenneco Platforms,25.9825,-80.0835,Platform
6838,Tenneco Reef Sailfish Bends,25.975,-80.075,Reef
6839,Tenneco Tower Shallow,25.98222,-80.08669,Tower
6840,Tenneco Towers Deep,25.9815,-80.07033,Tower
6841,Tenneco Towers Deep,25.98168,-80.07998,Tower
6842,Tennessee Chuck Mckibbon Reef,29.92036,-85.54263,Reef
6843,Tennessee Reef NW,24.74917,-80.779,Reef
6844,Tennessee Reef SE,24.74617,-80.78533,Reef
6845,Tennessee Reef SW,24.74467,-80.7765,Reef
6846,Tensaw Bridge Reef,29.9437,-88.04167,Reef
6847,Tensaw Bridge Reef,29.9707,-88.11003,Reef
6848,Tension Barge,27.22544,-80.00435,Reef
6849,Terceltug,36.9654,-75.34768,Structure
6850,Tern Reef,29.6,-94.84583,Reef
6851,Terry S 4 N/S Ledge,27.83177,-83.23762,Ledge
6852,Terry S 5 Ledge,27.75773,-83.16908,Ledge
6853,Terry S Ledge And Rocks,27.7947,-83.124,Ledge
6854,Terry S Little Ledge,27.92495,-83.0761,Ledge
6855,Terrys Hole,37.44711,-76.08249,Hole
6856,Terrys Rocky Road,27.57748,-82.97103,Rock
6857,Terrys Rocky Road,27.3726,-83.2971,Rock
6858,Tessie Steel Boat,30.19394,-87.24086,Wreck
6859,Tetrehedron Reef C,27.208,-80.03912,Reef
6860,Tetrehedron Stack Reef,27.21347,-80.03903,Reef
6861,Tewksbury Rock,42.34502,-70.86882,Rock
6862,TEX Edwards Barge,30.26896,-87.16928,Reef
6863,Texacotank,37.24798,-76.0761,Structure
6864,Texas Reef Reefmaker,27.19023,-80.10871,Reef
6865,Texas Tower,41.01448,-69.49206,Tower
6866,Texas Tower,39.80432,-72.65913,Tower
6867,Texas Tower,39.79973,-72.67018,Tower
6868,Texas Tower,39.79682,-72.67067,Tower
6869,Texas Tower,39.79273,-72.668,Tower
6870,Texas Tower Number,39.79417,-72.66483,Tower
6871,Texeco Wreck,37.24933,-76.08472,Wreck
6872,Texel,38.96678,-73.21622,Wreck
6873,Thaxter Rocks,43.0937,-70.6505,Rock
6874,The 1300 Rock,29.32247,-80.51113,Rock
6875,The 408 Hump,24.60128,-80.59538,Hump
6876,"The Bulkhead Reef, 04",27.55345,-82.70613,Reef
6877,The Bull Ledge,28.53013,-80.41065,Ledge
6878,The Canyons,28.6063,-84.26018,Canyon
6879,The Cell Reef,37.40417,-76.06139,Reef
6880,The Cigar,38.9045,-74.13888,Reef
6881,The Deep,39.0141,-72.74615,Structure
6882,The Deep,38.96955,-72.81038,Structure
6883,The Deep,39.93765,-73.2267,Structure
6884,The Deep,38.95602,-72.84905,Structure
6885,The DIP,39.90833,-71.725,Structure
6886,The Drop,38.82422,-72.98592,Structure
6887,The Farms,40.28333,-73.84,Reef
6888,The Fish Holes,28.7905,-79.98667,Hole
6889,The Hole,39.61663,-74.02403,Hole
6890,The Hole,39.01445,-74.34238,Hole
6891,The Hole,39.01483,-74.34007,Hole
6892,The Hook Seahorse Reef,28.99883,-83.13633,Reef
6893,The Hump,29.45162,-85.92763,Hump
6894,The Hump,24.80132,-80.44503,Hump
6895,The Hump Caves,29.46732,-85.92182,Hump
6896,The Humps,28.41138,-80.29065,Hump
6897,The Ledge,29.3004,-85.63315,Ledge
6898,The Ledge,29.90783,-80.28333,Ledge
6899,The Ledger,29.4199,-87.91285,Ledge
6900,The Nipple,29.87083,-86.89167,Hump
6901,The Nipple,29.85,-87.1,Hump
6902,The Nipple,29.85973,-87.0942,Hump
6903,The Nipple,29.861,-87.179,Hump
6904,The Nipple,29.99167,-86.9875,Hump
6905,The Nipple Center,29.69983,-87.26033,Hump
6906,The Nipple East,29.8874,-87.0744,Hump
6907,The Nipple West,29.7582,-87.33685,Hump
6908,The North Hole,24.85817,-80.58827,Hole
6909,The Playground,26.77,-79.98145,Structure
6910,The Playground,26.7895,-79.9965,Structure
6911,The Point,35.53,-74.8375,Ledge
6912,The Rise Hump,34.01347,-76.37879,Hump
6913,The Rock,28.70642,-80.56002,Rock
6914,The Rock Pile Center,34.86713,-75.50673,Rock
6915,The Rockpile,42.356,-70.468,Rock
6916,The Rockpile,42.34999,-70.45,Rock
6917,The Rocks,33.95963,-77.94397,Rock
6918,The Rocks,24.94367,-80.537,Rock
6919,The Sink Hole,29.87208,-79.9499,Hole
6920,The Slabs,30.02872,-86.73413,Structure
6921,The Slice,30.08084,-86.70866,Structure
6922,The Slice Ledge,30.08145,-86.71807,Ledge
6923,The Spring Wreck,27.5731,-83.49232,Wreck
6924,The Star,39.56192,-73.55717,Reef
6925,The Ten Three Hole,29.05767,-83.30317,Hole
6926,The Tires,39.61667,-74.075,Structure
6927,The West Hump,24.43538,-80.76,Hump
6928,The Wings Ledge,29.34353,-86.05925,Ledge
6929,Thelma,29.63355,-85.94993,Structure
6930,Thiorva Wreck,25.28353,-80.20763,Wreck
6931,Thomas H Wreck Concrete Pile,29.19549,-80.74813,Wreck
6932,Thompson Wreck,29.99458,-87.15505,Wreck
6933,Thousand Island Ledge,28.3105,-80.36402,Ledge
6934,Thozina,26.75166,-80.00983,Structure
6935,Three Barges,30.29121,-87.2213,Reef
6936,Three Fairs Wreck,40.3507,-73.3088,Wreck
6937,Three Fairs Wreck,40.34867,-73.30967,Wreck
6938,Three Mile Barge,30.22848,-87.54922,Reef
6939,Three Sisters Shipwreck,40.38425,-73.6014,Wreck
6940,Three Sisters Wreck,40.3864,-73.5916,Wreck
6941,Three Tugs,26.97599,-80.01633,Structure
6942,Thumper,41.29822,-71.96872,Hump
6943,Thunderbolt,24.658,-80.965,Structure
6944,Thunderbolt Wreck,24.66128,-80.9637,Wreck
6945,Tiger Red,28.36521,-80.27778,Structure
6946,Tiger Red Wreck,28.38467,-80.30367,Wreck
6947,Tile Hole,26.235,-79.89167,Hole
6948,Tillies Ledge,42.53505,-70.38135,Ledge
6949,Tillies North Ledge,42.55397,-70.40972,Ledge
6950,Tillmans Ledge,30.01433,-86.68496,Ledge
6951,Timber Hole,30.16348,-86.89138,Hole
6952,Timber Hole,30.1812,-86.85782,Hole
6953,Timber Hole,30.155,-86.83667,Hole
6954,Timber Hole,30.16018,-86.90823,Hole
6955,Timber Hole,30.12513,-87.02718,Hole
6956,Timber Hole,30.15482,-86.96467,Hole
6957,Timber Hole,30.15815,-86.95493,Hole
6958,Timber Hole Barge,30.2175,-86.8235,Reef
6959,Timber Holes,30.12103,-87.02315,Hole
6960,Timberhole,30.18557,-86.8589,Hole
6961,Timberhole,30.18619,-86.85808,Hole
6962,Timberhole Jacks,30.2008,-86.86863,Hole
6963,Timberholes,30.18472,-86.85963,Hole
6964,Times Square Ledge,27.68083,-82.92227,Reef
6965,Tims Hole,29.21478,-84.01952,Hole
6966,Tims Ledge,29.23062,-84.03883,Ledge
6967,TIN CUP Ledge,29.46325,-87.61572,Ledge
6968,Tindell S Reef,26.57142,-80.01408,Reef
6969,Tinkers Ledge,42.48733,-70.80275,Ledge
6970,Tinkers Rock,42.48353,-70.81813,Rock
6971,Tip,39.0064,-72.8017,Structure
6972,Tip,38.91912,-72.90805,Structure
6973,Tip,38.83538,-73.02807,Structure
6974,Tip TOE,29.69167,-87.39833,Structure
6975,Tire Barge,30.11415,-87.36235,Reef
6976,Tire Reef,30.30153,-86.46988,Reef
6977,Tire Reef,37.32018,-76.05105,Reef
6978,Tire Reef,27.68428,-82.75337,Reef
6979,Tire Reef,39.16603,-74.57515,Reef
6980,Tire Reef,39.17585,-74.53352,Reef
6981,Tire Reef,27.15383,-80.05803,Reef
6982,Tire Reef Boat,30.22538,-87.07453,Reef
6983,Tires Debris Reef,30.29182,-86.69902,Reef
6984,Tires Debris Reef,30.3074,-86.7052,Reef
6985,Tires Debris Reef,30.35967,-86.6198,Reef
6986,Titan,27.18683,-80.0435,Structure
6987,Titan II Transporter Site,28.33466,-80.20548,Structure
