name,type,category,region,latitude,longitude
Timber Hole,Hole,Holes,Florida to California,30.18120,-86.85782
Timber Holes,Hole,Holes,Florida to California,30.12103,-87.02315
Timberhole,Hole,Holes,Florida to California,30.18557,-86.85890
Timberhole,Hole,Holes,Florida to California,30.18619,-86.85808
Timberhole Jacks,Hole,Holes,Florida to California,30.20080,-86.86863
Timberholes,Hole,Holes,Florida to California,30.18472,-86.85963
Tims Hole,Hole,Holes,Florida to California,29.21478,-84.01952
Titty Hole,Hole,Holes,Florida to California,30.44369,-80.34779
Tonys Hole,Hole,Holes,Florida to California,25.58720,-82.00200
Trigger Hole,Hole,Holes,Florida to California,30.17760,-87.07958
Triggerfish Hole,Hole,Holes,Florida to California,29.99667,-87.37833
Trole Hole,Hole,Holes,Florida to California,29.82333,-87.18500
Two Hole Greys,Hole,Holes,Florida to California,29.74828,-80.41525
Uncle Jerrys Hole,Hole,Holes,Florida to California,26.44889,-97.05648
Underwater Cypress Forest Hole,Hole,Holes,Florida to California,30.10203,-87.80956
Victory Hole,Hole,Holes,Florida to California,30.28333,-86.68667
West Hole,Hole,Holes,Florida to California,29.95500,-87.41500
West Hole,Hole,Holes,Florida to California,30.12767,-87.33883
West Of CM Hole,Hole,Holes,Florida to California,30.11100,-86.92400
Whittakers Snap Hole,Hole,Holes,Florida to California,30.64083,-81.22633
Whittakers Snap Hole Dons Dble,Hole,Holes,Florida to California,30.64717,-81.22617
Whittakers Snap Hole Jew Fish Hole,Hole,Holes,Florida to California,30.64267,-81.23650
Whittakers Snap Hole Sea Bass Hole,Hole,Holes,Florida to California,30.64483,-81.23250
Whittakers Snap Hole Tabletop,Hole,Holes,Florida to California,30.64917,-81.22867
Whittakers Snapper Hole,Hole,Holes,Florida to California,30.64519,-81.21080
Whittakers Snapper Hole Tug,Hole,Holes,Florida to California,30.65563,-81.23123
Winkys Hole,Hole,Holes,Florida to California,25.98425,-80.08940
Woodburn Hole,Hole,Holes,Florida to California,30.09580,-87.13165
Woodburns Hole,Hole,Holes,Florida to California,30.10668,-87.15497
Woodburns Hole,Hole,Holes,Florida to California,30.10990,-87.12203
Xanadu Hole,Hole,Holes,Florida to California,26.48923,-78.70632
Yellowmouth Hole,Hole,Holes,Florida to California,29.34075,-87.74523
150 Spot Hump,Hump,Humps,Florida to California,33.59230,-118.17070
217 Fathom Hump,Hump,Humps,Florida to California,24.82309,-79.92963
408 Hump,Hump,Humps,Florida to California,24.59698,-80.59135
409 Hump,Hump,Humps,Florida to California,24.59167,-80.59167
Billfish Hump,Hump,Humps,Florida to California,25.96750,-79.41109
Bimini Hump,Hump,Humps,Florida to California,25.74184,-79.32261
Biscayne Hump,Hump,Humps,Florida to California,25.43529,-80.07291
Boca Deep Hump,Hump,Humps,Florida to California,26.32561,-79.51411
Boca Hump,Hump,Humps,Florida to California,26.34937,-80.05588
Captain Dans Hump,Hump,Humps,Florida to California,29.40544,-85.46611
Channel Hump,Hump,Humps,Florida to California,29.69125,-93.83937
Chucks Hump,Hump,Humps,Florida to California,26.51368,-97.11904
Davids Hump,Hump,Humps,Florida to California,24.51433,-81.70167
Delph Humps,Hump,Humps,Florida to California,24.32383,-81.68087
Delray Hump,Hump,Humps,Florida to California,26.43843,-79.79290
Dicks Hump,Hump,Humps,Florida to California,25.19710,-81.89908
Double Nipple,Hump,Humps,Florida to California,28.94988,-87.65435
